,fheight,sheight
1,65.049,59.778
2,63.251,63.214
3,64.955,63.342
4,65.752,62.792
5,61.137,64.281
6,63.023,64.242
7,65.371,64.082
8,64.724,63.996
9,66.065,64.613
10,66.967,63.979
11,59.008,65.245
12,62.932,65.351
13,63.671,65.680
14,64.074,65.437
15,64.689,65.294
16,65.155,64.790
17,66.374,65.019
18,65.577,65.546
19,67.368,65.081
20,66.759,65.490
21,67.798,65.135
22,69.535,65.513
23,62.540,66.584
24,63.810,66.378
25,64.457,66.148
26,64.966,65.973
27,64.707,65.959
28,65.738,66.452
29,65.501,65.748
30,65.554,65.972
31,66.903,65.905
32,66.574,65.908
33,66.532,66.471
34,67.906,65.750
35,68.292,66.347
36,67.741,66.086
37,68.469,66.280
38,69.383,66.344
39,71.818,66.417
40,62.416,67.226
41,64.491,67.464
42,64.488,66.994
43,63.923,66.766
44,65.446,67.034
45,65.030,66.843
46,65.670,69.299
47,68.661,69.091
48,66.546,61.664
49,64.860,65.729
50,69.607,68.980
51,64.814,67.374
52,65.327,67.175
53,65.832,67.067
54,65.834,67.294
55,65.561,67.627
56,65.869,67.479
57,65.773,66.922
58,67.091,67.583
59,66.614,67.212
60,67.411,66.816
61,67.277,67.243
62,66.611,67.510
63,68.174,67.570
64,67.806,67.173
65,68.325,67.541
66,68.078,67.371
67,68.968,67.597
68,68.925,67.251
69,69.609,66.825
70,70.356,66.727
71,70.006,66.930
72,72.754,67.648
73,62.821,68.043
74,62.869,68.489
75,63.913,68.048
76,64.541,68.346
77,64.519,68.338
78,66.027,68.314
79,65.810,68.183
80,66.018,68.511
81,65.537,68.120
82,65.733,68.316
83,66.774,68.048
84,66.679,68.613
85,66.976,67.942
86,66.940,68.084
87,66.846,68.368
88,67.120,67.852
89,67.742,68.198
90,68.272,68.019
91,67.607,68.234
92,68.447,67.897
93,67.658,68.624
94,68.712,67.979
95,69.320,68.267
96,68.740,67.942
97,69.134,68.621
98,69.350,68.239
99,68.630,68.586
100,69.583,68.066
101,70.395,68.382
102,71.193,67.759
103,70.824,68.600
104,71.654,67.915
105,73.281,67.839
106,63.038,68.776
107,63.664,69.608
108,65.383,69.691
109,64.602,69.415
110,66.407,69.689
111,65.770,69.208
112,65.667,69.456
113,66.057,69.596
114,66.546,69.280
115,66.572,69.523
116,66.649,68.744
117,67.719,69.310
118,68.487,69.226
119,67.828,69.241
120,67.558,69.491
121,68.078,69.119
122,69.167,68.938
123,68.693,69.458
124,68.618,69.276
125,68.648,69.229
126,68.617,68.705
127,70.365,69.346
128,70.010,68.871
129,70.140,69.303
130,70.207,69.158
131,71.281,69.627
132,70.904,69.110
133,72.190,69.096
134,74.962,69.033
135,64.882,69.857
136,65.552,70.063
137,65.659,69.898
138,65.928,70.262
139,65.942,70.527
140,67.436,70.527
141,67.484,69.787
142,67.613,70.367
143,68.452,69.976
144,68.495,69.833
145,68.106,70.700
146,69.483,70.169
147,69.074,70.116
148,69.393,69.954
149,69.443,70.313
150,69.521,69.809
151,70.155,69.968
152,69.869,69.939
153,70.444,69.735
154,70.854,70.084
155,71.301,70.010
156,72.140,70.650
157,72.190,70.013
158,75.434,70.091
159,64.518,71.343
160,66.363,70.815
161,65.569,71.449
162,66.790,71.187
